X;1 ch;1 ch_err;2 ch;2 ch_err;4 ch;4 ch_err;8 ch;8 ch_err
8;0.0127855;2.05662e-06;0.0255827;0.000274201;0.0490516;0.000994692;0.0970516;0.00215482
16;0.02583;3.83963e-06;0.0515102;0.000554989;0.0973408;0.00275938;0.192553;0.00296803
24;0.0384817;6.4358e-06;0.0766451;0.000821598;0.145451;0.00261033;0.286966;0.00666982
32;0.0515461;0.00244896;0.102015;0.00343379;0.207971;0.0107933;0.406624;0.00918415
40;0.0637749;0.00303021;0.125528;0.00544427;0.241007;0.0154404;0.438643;0.0270738
48;0.0761571;0.00361582;0.151718;0.0098994;0.206101;0.027278;0.279207;0.0312377
56;0.0891405;0.00423061;0.177402;0.00755903;0.184705;0.0251126;0.164401;0.012637
64;0.101518;0.0072463;0.191965;0.0203625;0.169912;0.0181755;0.116809;0.00800785
72;0.114276;0.00815725;0.216278;0.0251218;0.113717;0.00689293;0.106364;0.00714752
80;0.127678;0.00911242;0.239586;0.029277;0.118973;0.00756536;0.100132;0.00739892
88;0.140013;0.0119693;0.276562;0.0205446;0.101462;0.0074385;0.0920332;0.00866344
96;0.101744;0.00361804;0.160769;0.0136129;0.107035;0.00837802;0.0920088;0.00980734
104;0.110987;0.0063254;0.166695;0.00416101;0.110366;0.00968562;0.101513;0.0142077
112;0.119065;0.00678511;0.172451;0.015423;0.103221;0.00813501;0.0938987;0.00894236
120;0.128128;0.00730042;0.182228;0.0145313;0.103259;0.00875698;0.0963145;0.0117291
128;0.13667;0.00778629;0.175626;0.0219628;0.0996801;0.00901423;0.102317;0.0163528
136;0.144134;0.0082142;0.180636;0.0240148;0.103491;0.0104897;0.103263;0.0150259
144;0.114911;0.00326625;0.149423;0.0129624;0.107303;0.0107388;0.104996;0.0161318
152;0.121421;0.00575987;0.143528;0.0105537;0.110669;0.00893459;0.104606;0.0169699
160;0.127851;0.00606537;0.145144;0.0133017;0.114515;0.00906961;0.105118;0.010464
168;0.134242;0.00636547;0.139172;0.0142847;0.105494;0.0150999;0.104064;0.0174442
176;0.14057;0.00666664;0.141208;0.0118078;0.10164;0.0103141;0.111291;0.0116128
184;0.118332;0.00280298;0.138738;0.0161891;0.108072;0.00874815;0.106899;0.0119549
192;0.12321;0.00291726;0.149441;0.0118231;0.113284;0.0109073;0.106536;0.0108082
200;0.127742;0.00333453;0.159858;0.00577141;0.108485;0.00965347;0.113055;0.0173558
208;0.132623;0.00538441;0.150041;0.017475;0.117223;0.009849;0.113537;0.0117513
216;0.137739;0.00559339;0.12116;0.011911;0.114513;0.011045;0.113554;0.012209
224;0.143748;0.00583782;0.12629;0.0104094;0.113041;0.0108497;0.114484;0.0127284
232;0.123165;0.00249875;0.123882;0.0108417;0.114237;0.0114361;0.115628;0.0185355
240;0.128709;0.00261083;0.140007;0.0126689;0.11681;0.0099321;0.119979;0.0130471
248;0.132479;0.00297682;0.126504;0.0084849;0.120355;0.010239;0.116982;0.0196047
