X;1 ch;1 ch_err;2 ch;2 ch_err;3 ch;3 ch_err;4 ch;4 ch_err
2048;4.62589;0.643667;9.44745;1.03997;13.6125;1.1584;17.7856;1.36653
4096;8.75496;1.27592;16.7788;1.78985;25.8916;2.30285;33.5115;2.9643
6144;12.4482;1.9912;24.0343;2.53418;35.429;3.4873;43.8829;4.02519
8192;16.9508;2.79259;30.1472;3.44287;43.6216;4.0634;53.5451;5.04935
10240;18.3447;2.36917;35.7852;3.84267;49.9859;5.53108;62.9399;6.24563
12288;17.1306;1.9563;34.3075;2.8542;28.6424;6.76059;32.8303;8.88283
14336;19.1841;2.20451;38.1873;3.62968;34.186;7.70763;39.5791;9.9646
16384;21.152;2.4218;42.0635;3.55311;33.8962;7.6396;38.925;10.1098
18432;23.3883;2.65723;44.5781;4.91017;38.5272;8.21095;44.1711;10.7582
20480;22.3724;2.50721;45.0991;4.48025;40.2405;8.01819;47.6262;11.2356
22528;21.4864;2.27424;43.2306;3.57483;43.0604;8.82689;47.3337;10.2946
24576;22.193;2.46337;44.4684;3.59878;40.5491;9.50941;44.1497;10.8411
26624;23.6313;2.46644;45.2861;4.81092;41.634;9.52169;44.6954;10.6415
28672;24.6045;2.6351;49.1283;3.80524;44.3571;9.78242;47.2151;10.8014
30720;24.4653;2.78425;47.2577;4.542;43.1294;10.4602;49.5762;11.1525
32768;22.8819;2.83378;45.6385;4.88112;41.7567;9.72409;49.9786;10.8983
34816;23.3032;2.38651;47.8607;3.54522;39.1925;10.4055;41.0363;8.91965
36864;23.8308;2.38819;46.3918;6.33239;40.0219;11.075;43.6717;8.88388
38912;24.9072;2.51249;50.3543;3.96009;42.5368;11.3189;47.1822;11.4191
40960;25.0184;2.52623;47.836;6.80953;42.0486;11.3834;44.6339;9.1663
43008;24.2278;2.52406;48.7932;3.54092;44.2125;11.5135;45.3264;11.3395
45056;24.6751;2.32893;50.5675;3.48961;43.5818;11.8029;43.7474;11.4009
47104;24.574;2.37149;27.6633;6.34517;42.159;11.3268;45.0677;9.96581
49152;24.808;3.34463;51.1612;3.58874;43.3817;11.6925;44.0207;9.69431
51200;24.9774;2.30953;51.1712;3.53352;44.9884;12.1261;46.5976;9.10683
